"ENERGY STAR Unique ID","Brand Name","Model Number","Additional Model Information","UPC","Load Configuration","Additional Washer Features","Intended Market","Volume (cu. ft.)","Modified Energy Factor (MEF)","US Federal Standard (MEF)","Annual Energy Use (kWh/yr)","Water Factor (WF)","US Federal Standard (WF)","Integrated Water Factor (IWF)","US Federal Standard (IWF)","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"2383432","Crossover","WHLFP817MC2",,"856013006535","Front Load","None","Commercial","3.5","2.3","2.0","130",,"5.5","3.8","4.1","07/30/2021","07/30/2021","United States, Canada","ES_1137570_WHLFP817MC2_08132021022053_80093934"
"2395790","Electrolux, Electrolux Professional","EUD-618",,"522048939298676202","Front Load","None","Commercial","2.5","2.2","2.0","85",,"5.5","4","4.1","02/15/2021","05/12/2022","United States, Canada","ES_1082677_EUD-618_04222022072422_7510797"
"2399213","Electrolux, Electrolux Professional","EUD-625",,"52204704289867","Front Load","Other","Commercial","3.2","2.3","2.0","95",,"5.5","3.5","4.1","02/15/2021","07/27/2022","United States, Canada","ES_1082677_EUD-625_04222022071651_4970971"
"2397027","Electrolux, Electrolux Professional","EUD-630",,"6504373049867","Front Load","Other","Commercial","4.2","2.3","2.0","111",,"5.5","3.8","4.1","02/15/2021","05/31/2022","United States, Canada","ES_1082677_EUD-630_04222022072051_5385400"
"2383431","ENCORE","WHLFP715MC2",,"856013006528","Front Load","None","Commercial","3.5","2.3","2.0","130",,"5.5","3.8","4.1","07/30/2021","07/30/2021","United States, Canada","ES_1137570_WHLFP715MC2_08132021022053_80093934"
"2397508","GE","VFW310S*R***","VFW310SSRWW","084691864141","Front Load","Gentle Cycle","Commercial","3.5","2.2","2.0","117",,"5.5","4","4.1","06/30/2022","06/16/2022","United States","ES_1123206_VFW310S*R***_061320221848809_7139395"
"2670640","Hero","SXG150BHPLUD",,,"Front Load","None","Commercial","4.7","2.2","2.0","145",,"5.5","3.3","4.1","09/01/2023","09/01/2023","United States, Canada","ES_1149691_SXG150BHPLUD_10042023110301_80181109"
"2670639","Hero","WHPL15FV1017M",,,"Front Load","None","Commercial","4.7","2.2","2.0","145",,"5.5","3.3","4.1","09/01/2023","09/01/2023","United States, Canada","ES_1149691_WHPL15FV1017M_10042023110301_80181109"
"3360882","Hero","WSTR25",,,"Front Load","None","Commercial","2.9","2.4","2.0","96",,"5.5","4","4.1","01/15/2024","01/03/2024","United States, Canada","ES_1149691_WSTR25_01122024105241_80188230"
"2670638","Hero","WSTR40",,,"Front Load","None","Commercial","4.7","2.2","2.0","145",,"5.5","3.3","4.1","09/01/2023","09/01/2023","United States, Canada","ES_1149691_WSTR40_10042023110301_80181109"
"2376550","Huebsch","HFNK****116C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HFNK****116C***_042220212246676_9584614"
"2376555","Huebsch","HFNK****116T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","United States","ES_87091_HFNK****116T***_042220212246866_7503216"
"3706734","Huebsch","HFNK****117****","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HFNK****117****_100320242034474_7600114"
"3705376","Huebsch","HFNK****118****","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HFNK****118****_100320242033906_5977600"
"3477975","Huebsch","HFNN****115C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","05/10/2024","Canada","ES_87091_HFNN****115C***_042420241823172_6257210"
"3477974","Huebsch","HFNN****115T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","05/10/2024","United States","ES_87091_HFNN****115T***_042420241823678_9478440"
"2376547","Huebsch","HFNN****116C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HFNN****116C***_042220212246162_7801345"
"2376549","Huebsch","HFNN****116T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","United States","ES_87091_HFNN****116T***_042220212246546_9528867"
"3706735","Huebsch","HFNN****117****","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HFNN****117****_100320242034661_8550805"
"3705377","Huebsch","HFNN****118****","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HFNN****118****_10032024203396_7384873"
"2385036","Huebsch","HTEB****176T***","C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_HTEB****176T***_100720211025980_7688453"
"3706736","Huebsch","HTEB****177T***","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HTEB****177T***_100320242033955_7850917"
"3705375","Huebsch","HTEB****178T***","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States","ES_87091_HTEB****178T***_100320242034925_8908963"
"2376554","Huebsch","HTEB****286C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HTEB****286C***_042220212246214_9678228"
"3706737","Huebsch","HTEB****287C***","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HTEB****287C***_100320242034578_9153748"
"3705372","Huebsch","HTEB****288C***","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","Canada","ES_87091_HTEB****288C***_100320242033931_3685332"
"2385035","Huebsch","HTEN****285C***","C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_HTEN****285C***_100720211025540_2351458"
"2376552","Huebsch","HTEN****286C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HTEN****286C***_042220212246376_3691624"
"2376546","Huebsch","HTGB****096C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HTGB****096C***_042220212246797_4332188"
"2385038","Huebsch","HTGB****116T***","C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_HTGB****116T***_100720211025105_5262969"
"3706739","Huebsch","HTGB****117T***","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States","ES_87091_HTGB****117T***_100320242033389_8897563"
"3705374","Huebsch","HTGB****118T***","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States","ES_87091_HTGB****118T***_100320242033690_9947239"
"2385037","Huebsch","HTGN****095C***","C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_HTGN****095C***_100720211025653_4582801"
"2376551","Huebsch","HTGN****096C***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","02/01/2021","04/29/2021","Canada","ES_87091_HTGN****096C***_042220212246973_2155702"
"3706738","Huebsch","HTGN****097C***","Base model C33",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","United States, Canada","ES_87091_HTGN****097C***_100320242034692_4963808"
"3705373","Huebsch","HTGN****098C***","Base model C37",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","10/01/2024","10/15/2024","Canada","ES_87091_HTGN****098C***_10032024203365_7427025"
"2376270","Huebsch","YFNE5***115+",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","04/21/2021","Canada","ES_87091_YFNE5***115+_04082021154687_2936479"
"2385033","Huebsch","YFNE5***115C***","C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_YFNE5***115C***_100720211026774_6106264"
"3477966","Huebsch","YFNE5***115T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","05/10/2024","United States","ES_87091_YFNE5***115T***_042420241823101_7121912"
"3984175","Huebsch","YFNE5***119****","Base model C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","59",,"5.5","4","4.1","10/01/2024","12/22/2024","United States, Canada","ES_87091_YFNE5***119****_100320242034236_4984364"
"2385034","Huebsch","YTEE****285C***","C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_YTEE****285C***_100720211026315_6155453"
"3477967","Huebsch","YTEE5***175T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","05/10/2024","United States","ES_87091_YTEE5***175T***_042420241823759_5912394"
"3994137","Huebsch","YTEE5***179T***","Base model C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","59",,"5.5","4","4.1","10/01/2024","12/22/2024","United States, Canada","ES_87091_YTEE5***179T***_100320242033213_2218565"
"3994135","Huebsch","YTEE5***289C***","Base model C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","59",,"5.5","4","4.1","10/01/2024","12/22/2024","Canada","ES_87091_YTEE5***289C***_100320242033339_2692006"
"2385031","Huebsch","YTGE****095C***","C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","06/01/2021","10/07/2021","United States","ES_87091_YTGE****095C***_100720211026930_4669601"
"3994136","Huebsch","YTGE5***099C***","Base model C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","59",,"5.5","4","4.1","10/01/2024","12/22/2024","Canada","ES_87091_YTGE5***099C***_10032024203437_7521230"
"3477965","Huebsch","YTGE5***115T***",,,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","44",,"5.5","4","4.1","01/01/2018","05/10/2024","United States","ES_87091_YTGE5***115T***_042420241823846_4711440"
"3994138","Huebsch","YTGE5***119T***","Base model C31",,"Front Load","Gentle Cycle","Commercial","3.4","2.2","2.0","59",,"5.5","4","4.1","10/01/2024","12/22/2024","United States, Canada","ES_87091_YTGE5***119T***_100320242033684_4834734"
"2307177","LG","GCWF1069**#",,"048231023900;048231023917;048231023924;048231023931;048231023948;048231023955;048231023962;048231023979","Front Load","None","Commercial","3.7","2.4","2.0","120",,"5.5","3.8","4.1","01/01/2017","12/01/2017","United States, Canada","ES_1118034_GCWF1069**#_12012017042238_70165196"
"2310663","LG","GCWL1069**#",,"048231024648;048231024679;048231024686;048231025218;048231025225;048231025232;048231025249;048231026185;048231026192;048231026208;048231026215","Front Load","None","Commercial","3.7","2.4","2.0","100",,"5.5","4","4.1","02/14/2018","02/14/2018","United States, Canada","ES_1118034_GCWL1069**#_02142018030116_70174336"
"2354726","LG","GCWM1069**#",,"048231028196;195174000618;195174000625;195174000670;195174024690;8806091538437;8806091538451","Front Load","None","Commercial","3.7","2.5","2.0","100",,"5.5","3.7","4.1","02/11/2020","02/10/2020","United States, Canada","ES_1118034_GCWM1069**#_02122020053129_80033698"
"2343850","LG","GCWW1069**#",,"048231026864;048231026888","Front Load","None","Commercial","3.7","2.4","2.0","120",,"5.5","3.8","4.1","08/02/2019","08/02/2019","United States, Canada","ES_1118034_GCWW1069**#_08062019063455_80013654"
"2308949","LG","TCW2013***",,"048000000460;048000000477;048000000484;048000000521;048231018845;048231018852;048231018999;048231019019;048231027557","Front Load","None","Commercial","5.2","2.2","2.0","150",,"5.5","4","4.1","01/01/2017","01/09/2018","United States, Canada","ES_1118034_TCW2013***_01092018035655_70169036"
"2343849","LG","TCWL2013***",,"048231028189","Front Load","None","Commercial","5.2","2.4","2.0","150",,"5.5","3.9","4.1","08/02/2019","08/02/2019","United States, Canada","ES_1118034_TCWL2013***_08062019063455_80013654"
"2375441","LG","TCWM2013***",,"195174000632;195174000687;195174000694;195174000700","Front Load","None","Commercial","5.2","2.4","2.0","150",,"5.5","3.9","4.1","03/11/2021","03/05/2021","United States, Canada","ES_1118034_TCWM2013***_03052021031208_80075081"
"2308367","Maytag","MHN33PDCW**",,"883049391236","Front Load","Other","Commercial","3.1","2.2","2.0","90",,"5.5","3.5","4.1","03/14/2016","12/26/2017","United States, Canada","ES_22856_MHN33PDCW**_04252016205921_7961203"
"2312892","Maytag","MHN33PDCX**",,"883049391236","Front Load","Other","Commercial","3.1","2.2","2.0","90",,"5.5","3.5","4.1","03/15/2016","12/26/2017","United States, Canada","ES_22856_MHN33PDCX**_03202018210826_0106892"
"2312893","Maytag","MHN33PRCW**",,"883049391236","Front Load","Other","Commercial","3.1","2.2","2.0","90",,"5.5","3.5","4.1","03/16/2016","12/26/2017","United States, Canada","ES_22856_MHN33PRCW**_03202018212439_1079095"
