"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Type","Integrated Desktop Category","Product Marketed as a Workstation","Installed NPU","Motherboard Form Factor","Product DIMM Count","Operating System Name","Processor Brand","Processor Name","Physical CPU Cores (count)","CPU Packages (count)","CPU Base Clock Speed (GHz) ","CPU Maximum Clock Speed (GHz) ","System Memory (GB)","Multi-Channel Memory Support","Capable of Switchable Graphics","Switchable Graphics Enabled by Default in AC Mode ","Discrete Graphics Frame Buffer Bandwidth (GB/s) ","Discrete Graphics Frame Buffer Data Width (bits) ","Fast Ethernet Ports (count)","Gigabit Ethernet Ports (count) ","10 Gigabit Ethernet Ports (count)","Energy Efficient Ethernet (EEE) ","Number of Installed Storage Drives ","Number of Integrated Displays (count) ","Integrated Display Resolution (megapixels) ","Integrated Display Viewable Screen Area (sq in) ","Enhanced Performance Display Present ","Integrated Display Diagonal Screen Size (in)","Internal Power Supply Efficiency at 10% Load","Internal Power Supply Efficiency at 20% Load","Internal Power Supply Efficiency at 50% Load","Internal Power Supply Efficiency at 100% Load","Category I1/1 Internal Power Supply Efficiency at 50% Load","Category I1/1 Internal Power Supply Efficiency at 100% Load","External Power Supply Rated Power (W)","Internal Power Supply Rated Power (W)","MUX Device","Storage Technology","Total Battery Capacity (watt-hours)","Default Low-power Mode","Long Idle Power Used for Sleep Mode","Off Mode (watts)","Sleep Mode (watts)","Long Idle (watts)","Short Idle (watts)","Additional Measured Power in Short Idle at 115V (W) ","Base TEC Allowance (kWh)","Functional Adder Allowances (kWh)","TEC of Model (kWh)","Maximum TEC Requirements (Etec max) (kWh) ","Ethernet Capability","Touch Screen","Sleep Mode Default Time Upon Shipment (min.)","Display Sleep Mode Default Time Upon Shipment (min.)","WOL (Wake on LAN) From Sleep","Will the Speed of Any Active 1 GB/s or Higher Ethernet Network Links be Reduced to Less Than 1 GB/s When Transitioning to Sleep or Off Mode?","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"4518270","Panasonic","Panasonic","CF-330******","CF-330******","CF-339******","885170442924","Two-In-One Notebook",,"No","No",,,"Windows 11","Intel","Core i5,Core i7","14","1","1.9","5.2","32",,"No","No",,,"0","1",,"Yes","1","1","3.11","66.46","No","12",,,,,,,"110",,"No","SSD","49.7","Modern Standby","Yes","0.3","1.3","1.3","3.7","4.2","8","15.8","14.4","23.6","Yes","Yes","10","10","Shipped Enabled Under All Conditions","No","08/22/2025","12/16/2025","United States, Japan, Canada","ES_31845_CF-330******_12162025135732_4558069"
"4518266","Panasonic","Panasonic","CF-335******","CF-335******","CF-336******; CF-337******; CF-33U******; CF-ALPEMA10; CF-ALPEMA10R","885170381346;885170381506;885170384477;885170399433","Two-In-One Notebook",,"No","No",,,"Windows 10,Windows 11","Intel","Core i5,Core i7","12","1","2.2","4.8","32",,"No","No",,,"0","1",,"Yes","1","1","3.11","66.46","No","12",,,,,,,"110",,"No","SSD","49.7","Modern Standby","Yes","0.3","1.2","1.2","6.8","7.3","8","15.8","19.8","23.6","Yes","Yes","10","10","Shipped Enabled Under All Conditions","No","08/22/2025","12/16/2025","United States, Japan, Canada","ES_31845_CF-335******_10262025133654_4927179"
"4518254","Micro-Star International Co., Ltd.","MSI","MS-14QK","824142407783",,"824142407783","Notebook",,"No","Yes",,,"Windows 11","AMD","Ryzen 5","1","6","2","4.8","64",,,,,,,,,"Yes","1",,,,,,,,,,,,,,"No","SSD","54",,,"0.2",,"1.2","5.2",,"8","14.5","16.9","22.3","No","Yes",,,,,"12/12/2025","12/16/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1047644_824142407783_121520250320267_1736142"
"4518253","Lenovo Group Limited","Lenovo","Lenovo Chrome 15ITN10","83T1","83T2, 83T3",,"Notebook",,"No","No",,,"Chrome OS","Intel","Core 3 N355","8","1","1.9","3.9","8",,,,,,,"0",,"No","1","1","2.3","105.21","No","15.3",,,,,,,"65",,"No","SSD","50","ALPM","Yes","0.3","0.4","0.4","6.6","7.8","8","8.7","14.5","16.5","No","Yes","9","8",,,"12/15/2025","10/31/2025","United States, Japan, Canada, Taiwan, Switzerland","ES_1037540_83T1_10302025144452_8428580"
"4518230","Ace Technology Partners, LLC","Ace Computer","VP-98RW8I","VP-98RW8I",,,"Workstation",,"Yes",,,,,"Intel","Core i5","14","1","3.4","5","64",,,"No","192","128",,"2",,"Yes",,,,,,,,,,"0.87",,,,,,"Solid State Drive",,,,"1","1","42.7","41",,,,"40",,"Yes",,,,,,"10/01/2025","12/12/2025","United States","ES_1080606_VP-98RW8I_11262025214220_7988090"
"4518229","Ace Technology Partners, LLC","Ace Computer","VS-DMX300","VS-DMX300",,,"Desktop",,,"No",,"4","Windows 11","AMD","Ryzen 5","8","1","3.8","4.6","32",,,,,,,,"1","Yes","1",,,,,,,,,,,,,"120","No","SSD",,"None",,"0.4","0.4","8.6","8.6",,"41","31.4","10","71.9","Yes","No",,,,,"09/13/2022","12/12/2025","United States","ES_1080606_ VS-DMX300_11262025214220_7139743"
"4518228","Ace Technology Partners, LLC","Ace Computer","VS-DM660I","VS-DM660I",,,"Desktop",,,"Yes",,"4","Windows 11","Intel","Core i5","14","1","2.5","4.8","32",,,,,,,"1",,"Yes","1",,,,,,,,,,,,,"120","No","SSD",,"None",,"0.5","3.4","3.4","7.4",,"36","13","45.3","49","Yes","No",,,,,"09/13/2022","12/12/2025","United States","ES_1080606_VS-DMX300_12032025084252_9089166"
"4518226","Ace Technology Partners, LLC","Ace Computer","VS-U760I","VS-U760I",,,"Desktop",,,"Yes",,"4","Windows 11","Intel","Core i5","14","1","3.5","5.3","64",,,,"192","128",,"1",,"Yes","1",,,,,,,,,,,,,"120","No","SSD",,"None",,"0.5","0.1","1.1","21.7",,"41","43.8","81.8","84.3","Yes","No",,,,,"11/14/2024","12/12/2025","United States","ES_1080606_VS-U760I_11262025214220_7138482"
"4518225","Ace Technology Partners, LLC","Ace Computer","VS-UDRB8X","VS-UDRB8X",,,"Desktop","Category 2",,"No",,"4","Windows 11","Intel","Core i7","8","1","3.8","4.6","32",,,,,,,,"1","Yes","1",,,,,,,,,,,,,"120","No","SSD",,"Sleep Mode",,"0.7","3.4","12.1","12.2",,"49","3","54","55.4","Yes","No",,,,,"10/06/2025","12/12/2025","United States","ES_1080606_VS-UDRB8X_12022025125552_5403406"
"4518202","Ace Technology Partners, LLC","Ace Computer","VS-UDEB8X","VS-UDEB8X",,,"Desktop","Category 1",,"No",,"4","Windows 11","AMD",,"16","1","3.8","4.6","128",,,,,,,,"2","Yes","2",,,,,,,,,,,,,"120","No","SSD",,"Sleep Mode",,"0.7","73.8","64.9","79.3",,"46","32.4","57","78.4","Yes","No",,,,,"10/06/2025","12/12/2025","United States","ES_1080606_VS-UDEB8X_12122025121626_1387445"
