"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Indoor/Outdoor","Fixture Type","Total Light Output (lumens)","Total Input Power (Watts)","Energy Efficiency (lumens/Watt)","Appearance/Correlated Color Temperature (Kelvin)","Color Quality (CRI)","Light Source Life (hours)","Standby Power Consumption (Watts)","Connected Capable","Connects Using","Network Security Standards","Can Size(s) (inches)","Can Rating(s)","Light Source Connection/Base Type","Power Factor","Special Features","Notes","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"3354716","Satco Products Inc.","SATCO|NUVO","Downlight","S11833R1",,"045923711862","Indoor/Outdoor","Downlight Solid State Retrofit","600","6.70","89.6","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"4",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11833R1_010320240144705_2744674"
"3354717","Satco Products Inc.","SATCO|NUVO","Downlight","S11834R1",,"045923711879","Indoor/Outdoor","Downlight Solid State Retrofit","600","6.70","89.6","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"4",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11834R1_010320240144252_1250620"
"3354718","Satco Products Inc.","SATCO|NUVO","Downlight","S11832R1",,"045923711855","Indoor/Outdoor","Downlight Solid State Retrofit","600","6.70","89.6","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"4",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11832R1_010320240144598_9055260"
"3354719","Satco Products Inc.","SATCO|NUVO","Downlight","S11836R1",,"045923711893","Indoor/Outdoor","Downlight Solid State Retrofit","800","9.00","88.9","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"5",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11836R1_010320240152111_3982842"
"3354720","Satco Products Inc.","SATCO|NUVO","Downlight","S11835R1",,"045923711886","Indoor/Outdoor","Downlight Solid State Retrofit","800","9.00","88.9","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"5",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11835R1_010320240152474_1323826"
"3354721","Satco Products Inc.","SATCO|NUVO","Downlight","S11837R1",,"045923711909","Indoor/Outdoor","Downlight Solid State Retrofit","800","9.00","88.9","4000k,5000k,2700k,3500k,3000k","95","60,000",,"No",,,"5",,"E26","0.92","Continuously Dimmable,Wet Location Rated,White Light Tunable",,"01/02/2024","01/03/2024","United States, Canada","ES_31858_S11837R1_010320240152471_3451169"
"3354722","Satco Products Inc.","SATCO|NUVO","Downlight","S11884",,"045923118845","Indoor/Outdoor","Downlight Recessed","900","9.50","94.7","4000k,5000k,2700k,3500k,3000k","93","60,000",,"No",,,"4","Type Non-IC Airtight","E26","0.97","Continuously Dimmable,Multi-Output,Wet Location Rated,White Light Tunable",,"01/05/2024","01/03/2024","United States, Canada","ES_31858_S11884_010320240228258_3195363"
"3354723","Satco Products Inc.","SATCO|NUVO","Downlight","S11882",,"045923118821","Indoor/Outdoor","Downlight Recessed","900","9.50","94.7","4000k,5000k,2700k,3500k,3000k","94","60,000",,"No",,,"4","Type Non-IC Airtight","E26","0.96","Continuously Dimmable,Multi-Output,Wet Location Rated,White Light Tunable",,"01/05/2024","01/03/2024","United States, Canada","ES_31858_S11882_010320240503230_1326798"
"3354724","Satco Products Inc.","SATCO|NUVO","Downlight","S11885",,"045923118852","Indoor/Outdoor","Downlight Recessed","1,200","13.50","88.9","4000k,5000k,2700k,3500k,3000k","93","60,000",,"No",,,"5","Type Non-IC Airtight","E26","0.93","Continuously Dimmable,Multi-Output,Wet Location Rated,White Light Tunable",,"01/05/2024","01/03/2024","United States, Canada","ES_31858_S11885_01032024050442_4812360"
"3354725","Satco Products Inc.","SATCO|NUVO","Downlight","S11883",,"045923118838","Indoor/Outdoor","Downlight Recessed","1,200","13.50","88.9","4000k,5000k,2700k,3500k,3000k","94","60,000",,"No",,,"5","Type Non-IC Airtight","E26","0.94","Continuously Dimmable,Multi-Output,Wet Location Rated,White Light Tunable",,"01/05/2024","01/03/2024","United States, Canada","ES_31858_S11883_010320240505832_4789364"
"3360898","Signcomplex Limited","Signcomplex","DL211*K-4-15W-5CCT-R90-00##","DL211*K-4-15W-5CCT-R90-00##","Where the * can be B or blank denotes different surface outlook, the ## can be any number denotes commercial code.",,"Indoor","Downlight Recessed","1,250","15.00","88.7","4000k,5000k,2700k,3500k,3000k","95","54,000",,"No",,,"4","Type IC",,"0.99","0-10V Dimming,Wet Location Rated,White Light Tunable","Where the * can be B or blank denotes different surface outlook, the ## can be any number denotes commercial code.","12/23/2023","01/16/2024","United States, Canada","ES_1126618_DL211*K-4-15W-5CCT-R90-00##_011620240727823_6915466"
"3360899","Signcomplex Limited","Signcomplex","DL211*K-6-18W-5CCT-R90-00##","DL211*K-6-18W-5CCT-R90-00##","Where the * can be B or blank denotes different surface outlook, the ## can be any number denotes commercial code.",,"Indoor","Downlight Recessed","1,500","18.00","89.1","4000k,5000k,2700k,3500k,3000k","95","54,000",,"No",,,"6","Type IC",,"1.00","0-10V Dimming,Wet Location Rated,White Light Tunable","Where the * can be B or blank denotes different surface outlook, the ## can be any number denotes commercial code.","12/23/2023","01/16/2024","United States, Canada","ES_1126618_DL211*K-6-18W-5CCT-R90-00##_011620240731387_2672349"
